"Municipality","Code","Porcentage of population living with at most 1/2 minimum wage (%)","Employed population (%)","Natural forests (%)","Households with access to electric energy (%)","Planted or destined to harvest area (%)","Maximum capcacity of reservoirs (m^3)","Nature conservation unit demarcated area(%)"
"Portalegre",2410207,0.505,0.0715,0.2284,0.96,0.0519548471845816,0,0
"Porto do Mangue",2410256,0.543,0.1122,0.5764,0.9803,0.0379455109902476,0,0.337231910664458
"Pureza",2410306,0.539,0.0787,0.5149,0.972,0.1050956019461,0,0
"Rafael Fernandes",2410405,0.452,0.0541,0.0053,0.9351,0.0579982956641186,7e+06,0
"Rafael Godeiro",2410504,0.473,0.1139,0.0885,0.9755,0.0583640700807819,0,0
"Riacho da Cruz",2410603,0.501,0.0784,0.6048,0.9708,0.0230863585272613,9604200,0
"Riacho de Santana",2410702,0.5,0.0758,0.7499,0.9985,0.0377856957720617,0,0
"Riachuelo",2410801,0.515,0.116,0.2677,0.9735,0.0391430375605785,0,0
"Rio do Fogo",2410900,0.518,0.0972,0.7328,0.9756,0.152270036132659,0,0
"Rodolfo Fernandes",2408953,0.508,0.0922,0.5596,0.9836,0.0305872624788903,8273877,0
"Ruy Barbosa",2411007,0.521,0.0893,0.2718,0.9721,0.00971640830577696,0,0
"Santa Cruz",2411106,0.49,0.107,0.4613,0.9732,0.0410088037776721,22758750,0
"Santa Maria",2411205,0.483,0.0891,0.0704,0.9201,0.0303314902994047,0,0
"Santana do Matos",2409332,0.55,0.0827,0.6088,0.9874,0.0178074353488814,20602215,0
"Santana do Seridó",2411403,0.417,0.1901,0.1433,0.9809,0.00914363756100603,0,0
"Santo Antônio",2411429,0.498,0.0899,0.0235,0.9798,0.123792878459741,0,0
"São Bento do Norte",2411502,0.512,0.4432,0.3921,0.9486,0.00793407992216979,0,0.000761875738067121
"São Bento do Trairí",2411601,0.534,0.0744,0.3166,0.9627,0.0523654444905237,0,0
"São Fernando",2411700,0.465,0.1628,0.0853,0.9949,0.00532863755372118,0,0
"São Francisco do Oeste",2411809,0.448,0.1416,0.5528,0.9674,0.0547394336204261,0,0
"São Gonçalo do Amarante",2411908,0.413,0.1439,0.0244,0.995,0.0698014011657918,0,0
"São João do Sabugi",2412005,0.45,0.0752,0.7408,0.9774,0.0151843116983814,87539870,0
"São José de Mipibu",2412104,0.482,0.1517,0.0078,0.9727,0.21645810430615,0,0.264416820801086
"São José do Campestre",2412203,0.512,0.077,0.1394,0.9907,0.010309797973781,20649000,0
"São José do Seridó",2412302,0.377,0.2641,0.0677,0.9652,0.00520049033194558,49702394,0
"São Miguel",2412401,0.521,0.0625,0.1839,0.9889,0.186755186915479,10865000,0
"São Miguel do Gostoso",2412500,0.531,0.1511,0.5422,0.9919,0.0818222824687018,0,0
